Date,Station,Showalter,SWEAT,K,TotalsTotals,CAPE,BulkRichardsonNumber,TempK
12Z 01 Jan 2015,72274,16.39,101.98,3.20,28.70,2.02,0.01,0.01,269.65
12Z 02 Jan 2015,72274,8.63,42.00,11.50,44.60,0.00,0.00,0.00,270.40
12Z 03 Jan 2015,72274,14.28,56.00,-2.10,31.40,0.00,0.00,0.00,267.35
12Z 04 Jan 2015,72274,10.67,32.98,-6.70,33.80,0.00,0.00,0.00,267.37
12Z 05 Jan 2015,72274,12.30,46.00,-15.30,20.00,0.00,0.00,0.00,263.78
12Z 06 Jan 2015,72274,14.41,48.99,-31.90,17.60,0.00,0.00,0.00,263.51
12Z 07 Jan 2015,72274,13.75,30.98,-6.70,18.60,0.00,0.00,0.00,261.85
12Z 08 Jan 2015,72274,5.83,62.00,25.80,41.20,0.00,0.00,0.00,271.38
12Z 09 Jan 2015,72274,2.73,77.99,25.90,46.80,0.00,0.00,0.00,278.88
12Z 10 Jan 2015,72274,4.79,62.60,24.60,43.80,0.00,0.00,0.00,273.12
12Z 11 Jan 2015,72274,3.90,95.58,27.60,45.20,0.33,0.01,0.01,276.96
12Z 12 Jan 2015,72274,0.57,141.80,32.60,52.50,5.12,0.08,0.17,280.48
12Z 13 Jan 2015,72274,1.20,135.41,31.90,50.20,22.10,0.31,0.43,280.54
12Z 14 Jan 2015,72274,4.07,100.41,14.70,47.40,106.23,1.15,1.67,280.75
12Z 15 Jan 2015,72274,12.71,75.99,-6.70,30.60,0.00,0.00,0.00,272.32
12Z 16 Jan 2015,72274,13.28,52.02,-21.70,26.20,0.00,0.00,0.00,263.36
12Z 17 Jan 2015,72274,10.47,20.98,-16.30,32.60,0.00,0.00,0.00,267.61
12Z 18 Jan 2015,72274,9.23,28.98,8.70,34.80,0.00,0.00,0.00,268.53
12Z 19 Jan 2015,72274,6.80,35.99,3.10,39.20,0.00,0.00,0.00,269.93
12Z 20 Jan 2015,72274,11.63,59.01,-5.90,27.80,0.00,0.00,0.00,270.70
12Z 21 Jan 2015,72274,2.09,54.99,11.30,48.40,0.00,0.00,0.00,264.49
