PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1000.0,124              
929.0,751,9.6, -3.4, 40, 3.22,0,0,288.8,298.3,289.3
925.0,787,9.6, -3.4, 40, 3.23,145,2,289.1,298.7,289.7
910.9,914,9.1, -3.9, 40, 3.15,140,7,289.9,299.3,290.4
909.0,932,9.0, -4.0, 40, 3.14,148,7,289.9,299.3,290.5
889.0, 1116, 11.4, -6.6, 28, 2.64,233,4,294.3,302.4,294.8
878.1, 1219, 10.9, -7.1, 28, 2.56,280,2,294.8,302.6,295.2
865.0, 1344, 10.2, -7.8, 27, 2.47,268,3,295.3,303.0,295.8
850.0, 1489,9.0, -8.0, 29, 2.47,255,5,295.6,303.2,296.0
815.3, 1829,6.1, -9.2, 32, 2.34,285,9,296.0,303.3,296.4
785.3, 2134,3.5,-10.3, 36, 2.23,300, 15,296.4,303.4,296.8
756.5, 2438,0.9,-11.4, 39, 2.13,315, 17,296.8,303.5,297.2
751.0, 2498,0.4,-11.6, 40, 2.11,318, 17,296.9,303.5,297.2
728.2, 2743, -1.7,-11.9, 46, 2.12,330, 16,297.2,303.9,297.6
700.0, 3057, -4.3,-12.3, 54, 2.14,335, 18,297.7,304.4,298.1
665.0, 3458, -7.7,-12.4, 69, 2.23,342, 21,298.3,305.3,298.7
658.0, 3540, -8.1,-12.5, 71, 2.24,343, 21,298.7,305.8,299.1
652.0, 3611, -7.7,-13.7, 62, 2.05,344, 22,299.9,306.5,300.3
648.0, 3658, -8.1,-13.9, 63, 2.02,345, 22,300.0,306.4,300.4
608.0, 4149,-12.5,-16.4, 73, 1.76,337, 17,300.5,306.1,300.8
598.6, 4267,-13.3,-17.4, 71, 1.64,335, 16,300.9,306.2,301.1
581.0, 4494,-14.9,-19.3, 69, 1.44,331, 16,301.6,306.3,301.9
575.0, 4572,-15.3,-20.6, 64, 1.30,330, 16,302.0,306.2,302.2
555.0, 4838,-16.9,-24.9, 50, 0.92,352, 13,303.2,306.3,303.4
552.1, 4877,-17.2,-25.2, 50, 0.90,355, 13,303.3,306.3,303.4
529.9, 5182,-19.8,-27.8, 49, 0.74,335, 22,303.8,306.3,303.9
524.0, 5266,-20.5,-28.5, 49, 0.70,337, 22,303.9,306.3,304.0
502.0, 5581,-23.5,-28.5, 63, 0.73,344, 23,304.0,306.5,304.1
500.0, 5610,-23.7,-28.7, 63, 0.72,345, 23,304.1,306.6,304.2
487.0, 5802,-25.1,-31.1, 57, 0.59,345, 24,304.7,306.7,304.8
467.7, 6096,-26.5,-42.0, 22, 0.20,345, 25,306.5,307.3,306.6
459.0, 6231,-27.1,-47.1, 13, 0.12,343, 25,307.4,307.8,307.4
448.3, 6401,-28.6,-48.0, 14, 0.11,340, 25,307.5,307.9,307.5
441.0, 6519,-29.7,-48.7, 14, 0.10,333, 26,307.6,308.0,307.6
421.0, 6849,-31.1,-41.1, 37, 0.25,314, 27,309.9,310.9,310.0
411.5, 7010,-32.5,-42.1, 38, 0.23,305, 28,310.1,311.0,310.1
400.0, 7210,-34.3,-43.3, 40, 0.21,310, 26,310.3,311.1,310.4
377.1, 7620,-38.0,-47.9, 35, 0.13,315, 27,310.7,311.2,310.8
374.0, 7678,-38.5,-48.5, 34, 0.13,313, 26,310.8,311.3,310.8
370.0, 7752,-37.9,-52.9, 19, 0.08,311, 24,312.5,312.8,312.6
360.8, 7925,-38.7,-60.8,8, 0.03,305, 21,313.7,313.8,313.7
357.0, 7998,-39.1,-64.1,5, 0.02,310, 21,314.1,314.2,314.1
344.9, 8230,-41.0,-64.8,6, 0.02,325, 22,314.7,314.7,314.7
301.2, 9144,-48.5,-67.6,9, 0.01,310, 34,316.6,316.6,316.6
300.0, 9170,-48.7,-67.7,9, 0.01,310, 32,316.6,316.7,316.6
283.0, 9550,-51.5,-69.5, 10, 0.01,308, 27,317.9,318.0,317.9
266.0, 9949,-53.3,-71.3,9, 0.01,305, 22,321.0,321.0,321.0
261.5,10058,-52.9,-70.9,9, 0.01,305, 21,323.0,323.1,323.0
261.0,10071,-52.9,-70.9, 10, 0.01,304, 21,323.3,323.3,323.3
258.0,10146,-50.9,-72.9,6, 0.01,299, 23,327.3,327.3,327.3
255.0,10221,-51.1,-75.1,4, 0.01,294, 25,328.1,328.1,328.1
250.0,10350,-50.1,-76.1,3, 0.00,285, 29,331.4,331.5,331.4
249.5,10363,-50.1,-76.2,3, 0.00,280, 30,331.7,331.7,331.7
238.1,10668,-49.5,-77.7,2, 0.00,295, 33,337.0,337.0,337.0
234.0,10781,-49.3,-78.3,2, 0.00,289, 32,339.0,339.0,339.0
227.2,10973,-50.0,-78.3,2, 0.00,280, 30,340.7,340.7,340.7
