anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,2128 
2016,1,1,1,2275 
2016,1,1,2,2260 
2016,1,1,3,2051 
2016,1,1,4,1735 
2016,1,1,5,1420 
2016,1,1,6,1193 
2016,1,1,7,1144 
2016,1,1,8,1294 
2016,1,1,9,1581 
2016,1,1,10,1940 
2016,1,1,11,2304 
2016,1,1,12,2595 
2016,1,1,13,2767 
2016,1,1,14,2773 
2016,1,1,15,2569 
2016,1,1,16,2222 
2016,1,1,17,1838 
2016,1,1,18,1471 
2016,1,1,19,1205 
2016,1,1,20,1132 
2016,1,1,21,1211 
2016,1,1,22,1344 
2016,1,1,23,1503 
2016,1,2,0,1692 
2016,1,2,1,1895 
2016,1,2,2,2069 
2016,1,2,3,2130 
2016,1,2,4,2049 
2016,1,2,5,1895 
2016,1,2,6,1732 
2016,1,2,7,1604 
2016,1,2,8,1564 
2016,1,2,9,1621 
2016,1,2,10,1749 
2016,1,2,11,1939 
2016,1,2,12,2157 
2016,1,2,13,2345 
2016,1,2,14,2475 
2016,1,2,15,2502 
2016,1,2,16,2378 
2016,1,2,17,2146 
2016,1,2,18,1867 
2016,1,2,19,1571 
2016,1,2,20,1337 
2016,1,2,21,1224 
2016,1,2,22,1186 
2016,1,2,23,1196 
2016,1,3,0,1295 
2016,1,3,1,1497 
2016,1,3,2,1768 
2016,1,3,3,2043 
2016,1,3,4,2224 
2016,1,3,5,2274 
2016,1,3,6,2233 
2016,1,3,7,2127 
2016,1,3,8,1971 
2016,1,3,9,1817 
2016,1,3,10,1706 
2016,1,3,11,1677 
2016,1,3,12,1760 
2016,1,3,13,1925 
2016,1,3,14,2116 
2016,1,3,15,2306 
2016,1,3,16,2421 
2016,1,3,17,2385 
2016,1,3,18,2219 
2016,1,3,19,1964 
2016,1,3,20,1647 
2016,1,3,21,1345 
2016,1,3,22,1114 
2016,1,3,23,959 
2016,1,4,0,928 
2016,1,4,1,1083 
2016,1,4,2,1402 
2016,1,4,3,1816 
2016,1,4,4,2236 
2016,1,4,5,2541 
2016,1,4,6,2675 
2016,1,4,7,2655 
2016,1,4,8,2479 
2016,1,4,9,2172 
2016,1,4,10,1828 
2016,1,4,11,1551 
2016,1,4,12,1428 
2016,1,4,13,1498 
2016,1,4,14,1713 
2016,1,4,15,2010 
2016,1,4,16,2326 
2016,1,4,17,2535 
2016,1,4,18,2540 
2016,1,4,19,2360 
2016,1,4,20,2033 
2016,1,4,21,1597 
2016,1,4,22,1155 
2016,1,4,23,804 
2016,1,5,0,607 
2016,1,5,1,650 
2016,1,5,2,962 
2016,1,5,3,1469 
2016,1,5,4,2070 
2016,1,5,5,2637 
2016,1,5,6,3019 
2016,1,5,7,3148 
2016,1,5,8,3026 
2016,1,5,9,2660 
2016,1,5,10,2131 
2016,1,5,11,1602 
2016,1,5,12,1227 
2016,1,5,13,1105 
2016,1,5,14,1262 
2016,1,5,15,1626 
2016,1,5,16,2096 
2016,1,5,17,2543 
2016,1,5,18,2792 
2016,1,5,19,2757 
2016,1,5,20,2471 
2016,1,5,21,1976 
2016,1,5,22,1354 
2016,1,5,23,773 
2016,1,6,0,376 
2016,1,6,1,248 
2016,1,6,2,460 
2016,1,6,3,996 
2016,1,6,4,1733 
2016,1,6,5,2521 
2016,1,6,6,3183 
2016,1,6,7,3548 
2016,1,6,8,3553 
2016,1,6,9,3215 
2016,1,6,10,2591 
2016,1,6,11,1848 
2016,1,6,12,1210 
2016,1,6,13,837 
2016,1,6,14,818 
2016,1,6,15,1155 
2016,1,6,16,1734 
2016,1,6,17,2381 
2016,1,6,18,2898 
2016,1,6,19,3101 
2016,1,6,20,2937 
2016,1,6,21,2453 
2016,1,6,22,1724 
2016,1,6,23,921 
2016,1,7,0,285 
2016,1,7,1,-47 
2016,1,7,2,-16 
2016,1,7,3,429 
2016,1,7,4,1229 
2016,1,7,5,2195 
2016,1,7,6,3112 
2016,1,7,7,3764 
2016,1,7,8,3991 
2016,1,7,9,3766 
2016,1,7,10,3145 
2016,1,7,11,2269 
2016,1,7,12,1393 
2016,1,7,13,756 
2016,1,7,14,488 
2016,1,7,15,659 
2016,1,7,16,1241 
2016,1,7,17,2044 
2016,1,7,18,2807 
2016,1,7,19,3295 
2016,1,7,20,3359 
2016,1,7,21,2982 
2016,1,7,22,2236 
2016,1,7,23,1278 
2016,1,8,0,387 
2016,1,8,1,-184 
2016,1,8,2,-363 
2016,1,8,3,-116 
2016,1,8,4,601 
2016,1,8,5,1671 
2016,1,8,6,2809 
2016,1,8,7,3738 
2016,1,8,8,4251 
2016,1,8,9,4239 
2016,1,8,10,3719 
2016,1,8,11,2813 
2016,1,8,12,1762 
2016,1,8,13,873 
2016,1,8,14,346 
2016,1,8,15,265 
2016,1,8,16,687 
2016,1,8,17,1529 
2016,1,8,18,2500 
2016,1,8,19,3273 
2016,1,8,20,3629 
2016,1,8,21,3473 
2016,1,8,22,2825 
2016,1,8,23,1818 
2016,1,9,0,719 
2016,1,9,1,-127 
2016,1,9,2,-538 
2016,1,9,3,-516 
2016,1,9,4,-17 
2016,1,9,5,993 
2016,1,9,6,2285 
2016,1,9,7,3473 
2016,1,9,8,4277 
2016,1,9,9,4549 
2016,1,9,10,4239 
2016,1,9,11,3416 
2016,1,9,12,2290 
2016,1,9,13,1186 
2016,1,9,14,401 
2016,1,9,15,59 
2016,1,9,16,216 
2016,1,9,17,910 
2016,1,9,18,1970 
2016,1,9,19,3003 
2016,1,9,20,3669 
2016,1,9,21,3811 
2016,1,9,22,3388 
2016,1,9,23,2468 
2016,1,10,0,1275 
2016,1,10,1,173 
2016,1,10,2,-521 
2016,1,10,3,-730 
2016,1,10,4,-484 
2016,1,10,5,293 
2016,1,10,6,1567 
2016,1,10,7,2965 
2016,1,10,8,4057 
2016,1,10,9,4632 
2016,1,10,10,4614 
2016,1,10,11,4001 
2016,1,10,12,2927 
2016,1,10,13,1693 
2016,1,10,14,659 
2016,1,10,15,56 
2016,1,10,16,-62 
2016,1,10,17,349 
2016,1,10,18,1288 
2016,1,10,19,2469 
2016,1,10,20,3439 
2016,1,10,21,3911 
2016,1,10,22,3800 
2016,1,10,23,3115 
2016,1,11,0,1990 
2016,1,11,1,739 
2016,1,11,2,-251 
2016,1,11,3,-744 
2016,1,11,4,-745 
2016,1,11,5,-262 
2016,1,11,6,782 
2016,1,11,7,2218 
2016,1,11,8,3569 
2016,1,11,9,4453 
2016,1,11,10,4758 
2016,1,11,11,4456 
2016,1,11,12,3585 
2016,1,11,13,2361 
2016,1,11,14,1145 
2016,1,11,15,268 
2016,1,11,16,-124 
2016,1,11,17,-16 
2016,1,11,18,629 
2016,1,11,19,1732 
2016,1,11,20,2910 
2016,1,11,21,3719 
2016,1,11,22,3961 
2016,1,11,23,3616 
2016,1,12,0,2736 
2016,1,12,1,1521 
2016,1,12,2,332 
2016,1,12,3,-484 
